Number of states: 17
Accepting states: 0 2 3 5 7 11 13
Alphabet: 0123456789abcdef
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13
14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12
13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11
12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7
8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6
7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5
6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4
5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3
4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2
3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
